d1,d2,odds ratio
0,0,0.9954502030089660
0,3,0.7006870341476540
4,6,1.1004990461140400
7,9,1.12075713520297
10,13,1.1004990461140400
14,20,0.76759703961748
21,27,0.5733024784340320
28,34,0.46059764739251900
35,41,0.5185775222230960
42,55,0.42236990494950000
56,79,0.41473541671454500
80,100,0.4564159304840670
